Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,9.0%
,,
Total Return,138%,11%
CAGR% (Annual Return),13.11%,1.44%
,,
Sharpe,0.48,-2.81
RoMaD,0.39,1.07
Corr to Benchmark,1.0,0.08
Prob. Sharpe Ratio,25.57%,61.32%
Smart Sharpe,0.48,-2.8
Sortino,0.66,-4.03
Smart Sortino,0.66,-4.02
Sortino/√2,0.47,-2.85
Smart Sortino/√2,0.46,-2.84
Omega,0.46,0.46
,,
Max Drawdown,-33.68%,-1.35%
Longest DD Days,708,65
Volatility (ann.),18.97%,1.3%
R^2,0.01,0.01
Information Ratio,-0.04,-0.04
Calmar,0.39,1.07
Skew,-0.63,0.1
Kurtosis,20.12,57.1
,,
Expected Daily%,0.03%,0.0%
Expected Monthly%,1.03%,0.12%
Expected Yearly%,11.45%,1.27%
Daily Value-at-Risk,-1.59%,-0.11%
Expected Shortfall (cVaR),-1.59%,-0.11%
,,
MTD,4.57%,0.0%
3M,11.64%,0.0%
6M,9.33%,0.0%
YTD,26.21%,0.0%
1Y,25.88%,0.0%
3Y (ann.),10.67%,0.0%
5Y (ann.),14.68%,0.0%
10Y (ann.),13.11%,1.44%
All-time (ann.),13.11%,1.44%
,,
Best Day,9.06%,0.81%
Worst Day,-10.94%,-0.93%
Best Month,12.7%,2.13%
Worst Month,-12.44%,-0.17%
Best Year,31.23%,9.83%
Worst Year,-18.16%,-0.02%
,,
Avg. Drawdown,-1.66%,-0.37%
Avg. Drawdown Days,18,11
Recovery Factor,2.95,7.52
Ulcer Index,0.08,0.0
Serenity Index,0.72,6.75
,,
Avg. Up Month,2.11%,0.86%
Avg. Down Month,-0.86%,-0.02%
Win Days,1414.41,1636.09
Loss Days,1156.59,934.91
Win Days%,55.01%,63.64%
Win Month%,70.59%,85.71%
Win Quarter%,72.41%,83.33%
Win Year%,62.5%,66.67%
,,
Beta,-,0.01
Alpha,-,0.01
Correlation,-,8.13%
Treynor Ratio,-,966.24%
