Metric,SPY,Strategy
Risk-Free Rate,4.5%,4.5%
Time in Market,69.0%,46.0%
,,
Total Return,254%,40%
CAGR% (Annual Return),15.53%,3.91%
,,
Sharpe,0.65,0.07
RoMaD,0.46,0.1
Corr to Benchmark,1.0,-0.19
Prob. Sharpe Ratio,54.04%,4.13%
Smart Sharpe,0.63,0.07
Sortino,0.9,0.12
Smart Sortino,0.87,0.11
Sortino/√2,0.64,0.08
Smart Sortino/√2,0.62,0.08
Omega,1.02,1.02
,,
Max Drawdown,-33.68%,-40.17%
Longest DD Days,708,1363
Volatility (ann.),17.92%,20.51%
R^2,0.04,0.04
Information Ratio,-0.02,-0.02
Calmar,0.46,0.1
Skew,-0.64,3.2
Kurtosis,20.67,58.55
,,
Expected Daily%,0.04%,0.01%
Expected Monthly%,1.2%,0.32%
Expected Yearly%,15.09%,3.8%
Daily Value-at-Risk,-1.5%,-1.75%
Expected Shortfall (cVaR),-1.5%,-1.75%
,,
MTD,1.84%,0.0%
3M,4.38%,-1.11%
6M,16.57%,10.98%
YTD,24.8%,26.88%
1Y,37.26%,19.77%
3Y (ann.),9.62%,13.97%
5Y (ann.),15.62%,14.3%
10Y (ann.),15.53%,3.91%
All-time (ann.),15.53%,3.91%
,,
Best Day,9.06%,17.94%
Worst Day,-10.94%,-8.77%
Best Month,12.7%,32.05%
Worst Month,-12.44%,-20.98%
Best Year,31.23%,38.23%
Worst Year,-18.16%,-25.66%
,,
Avg. Drawdown,-1.53%,-12.79%
Avg. Drawdown Days,16,288
Recovery Factor,4.18,1.29
Ulcer Index,0.07,0.23
Serenity Index,1.2,0.06
,,
Avg. Up Month,2.78%,3.94%
Avg. Down Month,-4.69%,-3.66%
Win Days,1774.7,1566.8
Loss Days,1425.3,1633.2
Win Days%,55.46%,48.96%
Win Month%,74.53%,43.82%
Win Quarter%,80.56%,42.42%
Win Year%,77.78%,55.56%
,,
Beta,-,-0.22
Alpha,-,0.09
Correlation,-,-19.34%
Treynor Ratio,-,-160.03%
