time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2016-01-11 09:30:00-05:00,MLTRADER,19a7d495bae14c7395156cd69771ba92,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2016-01-11 09:30:00-05:00,MLTRADER,19a7d495bae14c7395156cd69771ba92,SPY,sell,market,fill,1,gtc,0.0,1,stock,193.00999450683594,259.0,0.0
2016-01-14 09:30:00-05:00,MLTRADER,de7b62d9594b4cf6b3c48508118e4827,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2016-01-14 09:30:00-05:00,MLTRADER,de7b62d9594b4cf6b3c48508118e4827,SPY,sell,market,fill,1,gtc,0.0,1,stock,189.5500030517578,396.0,0.0
2016-02-08 09:30:00-05:00,MLTRADER,dfd0038afff7484f97ff0408ef3e2f27,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2016-02-08 09:30:00-05:00,MLTRADER,2846cf79e9cc4a3b88deb83c3c141156,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2016-02-08 09:30:00-05:00,MLTRADER,53bbad39668c48488fbd1e3bba27db4f,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2016-02-08 09:30:00-05:00,MLTRADER,b23e40a0259642a79d7f528ae22eb7c1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2016-02-08 09:30:00-05:00,MLTRADER,f9693aae8af64595a7870f5a565606c6,SPY,buy,market,new,1,day,0.0,1,stock,,,
2016-02-08 09:30:00-05:00,MLTRADER,633e131759764316bd0c909134ff5d81,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2016-02-08 09:30:00-05:00,MLTRADER,f9693aae8af64595a7870f5a565606c6,SPY,buy,market,fill,1,day,0.0,1,stock,185.77000427246094,655.0,0.0
2016-02-08 09:30:00-05:00,MLTRADER,633e131759764316bd0c909134ff5d81,SPY,buy,market,fill,1,gtc,0.0,1,stock,185.77000427246094,606.0,0.0
2016-12-07 09:30:00-05:00,MLTRADER,fb39391f38174aefabf9a444f0b797a2,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2016-12-07 09:30:00-05:00,MLTRADER,2fb7f2e072314fd7a081ac95b21537e9,SPY,sell,limit,fill,1,day,0.0,1,stock,222.92400512695312,606.0,0.0
2016-12-15 09:30:00-05:00,MLTRADER,831d92770d5a46499121f90b547f7a91,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2016-12-15 09:30:00-05:00,MLTRADER,831d92770d5a46499121f90b547f7a91,SPY,buy,market,fill,1,gtc,0.0,1,stock,226.16000366210938,278.0,0.0
2017-01-06 09:30:00-05:00,MLTRADER,1e2ba38010c746c1a1d4ad3cb320e956,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2017-01-06 09:30:00-05:00,MLTRADER,b06cfc3be19f43568a8b6c9833db5c78,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2017-01-06 09:30:00-05:00,MLTRADER,bed102e4b91948c3a99746b65f14ae32,SPY,sell,market,new,1,day,0.0,1,stock,,,
2017-01-06 09:30:00-05:00,MLTRADER,97fd3fdbfb624f7081bbe8b1b04766cd,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2017-01-06 09:30:00-05:00,MLTRADER,bed102e4b91948c3a99746b65f14ae32,SPY,sell,market,fill,1,day,0.0,1,stock,226.52999877929688,278.0,0.0
2017-01-06 09:30:00-05:00,MLTRADER,97fd3fdbfb624f7081bbe8b1b04766cd,SPY,sell,market,fill,1,gtc,0.0,1,stock,226.52999877929688,140.0,0.0
2017-01-09 09:30:00-05:00,MLTRADER,7b6badabc0454a55b22ef0ff0a6a8c2a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2017-01-09 09:30:00-05:00,MLTRADER,7b6badabc0454a55b22ef0ff0a6a8c2a,SPY,sell,market,fill,1,gtc,0.0,1,stock,226.91000366210938,348.0,0.0
2017-03-01 09:30:00-05:00,MLTRADER,aa7ef2b0707145ba872e17904adc84b8,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
