Metric,SPY,Strategy
Risk-Free Rate,0.27%,0.27%
Time in Market,69.0%,1.0%
,,
Total Return,254%,1%
CAGR% (Annual Return),15.53%,0.15%
,,
Sharpe,0.88,-0.04
RoMaD,0.46,0.03
Corr to Benchmark,1.0,-0.03
Prob. Sharpe Ratio,99.28%,52.45%
Smart Sharpe,0.79,-0.03
Sortino,1.23,-0.06
Smart Sortino,1.1,-0.05
Sortino/√2,0.87,-0.04
Smart Sortino/√2,0.78,-0.04
Omega,0.94,0.94
,,
Max Drawdown,-33.68%,-4.73%
Longest DD Days,708,3190
Volatility (ann.),17.92%,2.45%
R^2,0.0,0.0
Information Ratio,-0.05,-0.05
Calmar,0.46,0.03
Skew,-0.64,6.91
Kurtosis,20.67,409.98
,,
Expected Daily%,0.04%,0.0%
Expected Monthly%,1.2%,0.01%
Expected Yearly%,15.09%,0.14%
Daily Value-at-Risk,-1.5%,-0.21%
Expected Shortfall (cVaR),-1.5%,-0.21%
,,
MTD,1.84%,0.0%
3M,4.38%,0.0%
6M,16.57%,0.0%
YTD,24.8%,0.0%
1Y,37.26%,0.0%
3Y (ann.),9.62%,0.0%
5Y (ann.),15.65%,0.0%
10Y (ann.),15.53%,0.15%
All-time (ann.),15.53%,0.15%
,,
Best Day,9.06%,3.42%
Worst Day,-10.94%,-2.38%
Best Month,12.7%,2.37%
Worst Month,-16.07%,-1.06%
Best Year,31.23%,1.29%
Worst Year,-18.51%,0.0%
,,
Avg. Drawdown,-1.53%,-2.31%
Avg. Drawdown Days,16,1065
Recovery Factor,4.18,0.33
Ulcer Index,0.07,0.02
Serenity Index,1.23,0.02
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,1774.15,1308.68
Loss Days,1424.85,1890.32
Win Days%,55.46%,40.91%
Win Month%,73.58%,50.0%
Win Quarter%,80.56%,100.0%
Win Year%,77.78%,100.0%
,,
Beta,-,-0.0
Alpha,-,0.0
Correlation,-,-2.77%
Treynor Ratio,-,-270.11%
