Metric,SPY,Strategy
Risk-Free Rate,4.5%,4.5%
Time in Market,69.0%,60.0%
,,
Total Return,267%,"1,046%"
CAGR% (Annual Return),16.17%,32.43%
,,
Sharpe,0.68,0.71
RoMaD,0.48,0.43
Corr to Benchmark,1.0,0.22
Prob. Sharpe Ratio,57.76%,41.44%
Smart Sharpe,0.65,0.68
Sortino,0.95,1.07
Smart Sortino,0.91,1.03
Sortino/√2,0.67,0.76
Smart Sortino/√2,0.64,0.73
Omega,1.15,1.15
,,
Max Drawdown,-33.68%,-74.55%
Longest DD Days,708,1077
Volatility (ann.),17.87%,54.19%
R^2,0.05,0.05
Information Ratio,0.03,0.03
Calmar,0.48,0.43
Skew,-0.64,0.53
Kurtosis,21.09,10.41
,,
Expected Daily%,0.04%,0.08%
Expected Monthly%,1.25%,2.35%
Expected Yearly%,15.56%,31.12%
Daily Value-at-Risk,-1.49%,-4.55%
Expected Shortfall (cVaR),-1.49%,-4.55%
,,
MTD,1.84%,-15.58%
3M,4.38%,-13.16%
6M,16.57%,40.66%
YTD,24.8%,-11.36%
1Y,37.26%,-14.36%
3Y (ann.),9.62%,-13.5%
5Y (ann.),15.62%,51.71%
10Y (ann.),16.17%,32.43%
All-time (ann.),16.17%,32.43%
,,
Best Day,9.06%,26.87%
Worst Day,-10.94%,-23.27%
Best Month,12.7%,62.78%
Worst Month,-12.44%,-33.82%
Best Year,31.23%,624.02%
Worst Year,-18.16%,-66.05%
,,
Avg. Drawdown,-1.5%,-8.96%
Avg. Drawdown Days,16,68
Recovery Factor,4.28,4.97
Ulcer Index,0.07,0.29
Serenity Index,1.21,0.67
,,
Avg. Up Month,3.65%,15.35%
Avg. Down Month,-5.18%,-9.98%
Win Days,1759.01,1652.45
Loss Days,1410.99,1517.55
Win Days%,55.49%,52.13%
Win Month%,75.24%,51.43%
Win Quarter%,80.56%,58.33%
Win Year%,77.78%,77.78%
,,
Beta,-,0.67
Alpha,-,0.32
Correlation,-,22.1%
Treynor Ratio,-,1553.48%
