Metric,SPY,Strategy
Risk-Free Rate,0.2%,0.2%
Time in Market,69.0%,2.0%
,,
Total Return,253%,35%
CAGR% (Annual Return),15.67%,3.56%
,,
Sharpe,0.89,0.51
RoMaD,0.47,0.33
Corr to Benchmark,1.0,0.0
Prob. Sharpe Ratio,99.37%,93.6%
Smart Sharpe,0.89,0.51
Sortino,1.25,0.86
Smart Sortino,1.24,0.85
Sortino/√2,0.88,0.61
Smart Sortino/√2,0.88,0.6
Omega,1.74,1.74
,,
Max Drawdown,-33.68%,-10.88%
Longest DD Days,708,3113
Volatility (ann.),17.86%,6.92%
R^2,0.0,0.0
Information Ratio,-0.03,-0.03
Calmar,0.47,0.33
Skew,-0.65,3.49
Kurtosis,21.21,187.33
,,
Expected Daily%,0.04%,0.01%
Expected Monthly%,1.21%,0.29%
Expected Yearly%,15.04%,3.42%
Daily Value-at-Risk,-1.49%,-0.59%
Expected Shortfall (cVaR),-1.49%,-0.59%
,,
MTD,1.84%,0.0%
3M,4.38%,0.0%
6M,16.57%,0.0%
YTD,24.8%,0.0%
1Y,37.26%,0.0%
3Y (ann.),9.62%,0.0%
5Y (ann.),15.65%,0.0%
10Y (ann.),15.67%,3.56%
All-time (ann.),15.67%,3.56%
,,
Best Day,9.06%,6.65%
Worst Day,-10.94%,-7.03%
Best Month,12.7%,26.0%
Worst Month,-16.07%,-4.33%
Best Year,31.23%,35.38%
Worst Year,-18.51%,0.0%
,,
Avg. Drawdown,-1.49%,-3.93%
Avg. Drawdown Days,16,392
Recovery Factor,4.16,2.97
Ulcer Index,0.08,0.11
Serenity Index,1.21,0.08
,,
Avg. Up Month,2.49%,12.72%
Avg. Down Month,-,-
Win Days,1753.43,1897.2
Loss Days,1408.57,1264.8
Win Days%,55.45%,60.0%
Win Month%,74.29%,75.0%
Win Quarter%,80.56%,50.0%
Win Year%,77.78%,100.0%
,,
Beta,-,0.0
Alpha,-,0.04
Correlation,-,0.47%
Treynor Ratio,-,19205.69%
