time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2016-02-17 09:30:00-05:00,MLTRADER,f6956ffbd86c4a188b4cb16d935f9ccc,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-02-17 09:30:00-05:00,MLTRADER,f6956ffbd86c4a188b4cb16d935f9ccc,TSLA,buy,market,fill,1,gtc,0.0,1,stock,10.600000381469727,2830.0,0.0
2016-02-18 09:30:00-05:00,MLTRADER,c5a85c119d6f49439a77e5811ff39cc1,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-02-18 09:30:00-05:00,MLTRADER,c5a85c119d6f49439a77e5811ff39cc1,TSLA,buy,market,fill,1,gtc,0.0,1,stock,11.494667053222656,1827.0,0.0
2016-02-22 09:30:00-05:00,MLTRADER,81abd95ffda642c2a1c7a352c54d6042,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-02-22 09:30:00-05:00,MLTRADER,81abd95ffda642c2a1c7a352c54d6042,TSLA,buy,market,fill,1,gtc,0.0,1,stock,11.341333389282227,1296.0,0.0
2016-02-26 09:30:00-05:00,MLTRADER,887f5c44455e4cea89727b505598a7d7,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-02-26 09:30:00-05:00,MLTRADER,887f5c44455e4cea89727b505598a7d7,TSLA,buy,market,fill,1,gtc,0.0,1,stock,12.579999923706055,818.0,0.0
2016-02-29 09:30:00-05:00,MLTRADER,0db99f441030485e8865197912abea20,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-02-29 09:30:00-05:00,MLTRADER,0db99f441030485e8865197912abea20,TSLA,buy,market,fill,1,gtc,0.0,1,stock,12.826666831970215,562.0,0.0
2016-03-01 09:30:00-05:00,MLTRADER,8d008f6812774de3b7e04d05021802e7,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-03-01 09:30:00-05:00,MLTRADER,8d008f6812774de3b7e04d05021802e7,TSLA,buy,market,fill,1,gtc,0.0,1,stock,12.949999809265137,389.0,0.0
2016-03-04 09:30:00-05:00,MLTRADER,11951ef2bc3c495d8cb3aa311160be8d,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-03-04 09:30:00-05:00,MLTRADER,11951ef2bc3c495d8cb3aa311160be8d,TSLA,buy,market,fill,1,gtc,0.0,1,stock,13.199999809265137,267.0,0.0
2016-03-09 09:30:00-05:00,MLTRADER,fba5441a74044322b4f31d02e2d6c969,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-03-09 09:30:00-05:00,MLTRADER,fba5441a74044322b4f31d02e2d6c969,TSLA,buy,market,fill,1,gtc,0.0,1,stock,13.63466739654541,181.0,0.0
2016-03-10 09:30:00-05:00,MLTRADER,e755e067385c41d5a51dbff929286c60,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-03-10 09:30:00-05:00,MLTRADER,e755e067385c41d5a51dbff929286c60,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.0,124.0,0.0
2016-03-11 09:30:00-05:00,MLTRADER,c3eb2b37d10247089358ccb7837f5bcd,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-03-11 09:30:00-05:00,MLTRADER,c3eb2b37d10247089358ccb7837f5bcd,TSLA,buy,market,fill,1,gtc,0.0,1,stock,13.862000465393066,87.0,0.0
2016-03-17 09:30:00-04:00,MLTRADER,7f3a354900a24c398a9a3cd880c3f2dc,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-03-17 09:30:00-04:00,MLTRADER,7f3a354900a24c398a9a3cd880c3f2dc,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.273332595825195,56.0,0.0
2016-04-01 09:30:00-04:00,MLTRADER,6c53b56a63bc4d9a823ecfba1c3cd541,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-04-01 09:30:00-04:00,MLTRADER,6c53b56a63bc4d9a823ecfba1c3cd541,TSLA,buy,market,fill,1,gtc,0.0,1,stock,16.32200050354004,36.0,0.0
2016-04-06 09:30:00-04:00,MLTRADER,c4f6a030189f471fa2bb0af82f03ad24,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-04-06 09:30:00-04:00,MLTRADER,c4f6a030189f471fa2bb0af82f03ad24,TSLA,buy,market,fill,1,gtc,0.0,1,stock,17.76333236694336,23.0,0.0
2016-04-07 09:30:00-04:00,MLTRADER,f142fdb50f24484f9a1490d0cef15b45,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-04-07 09:30:00-04:00,MLTRADER,f142fdb50f24484f9a1490d0cef15b45,TSLA,buy,market,fill,1,gtc,0.0,1,stock,17.366666793823242,17.0,0.0
2016-04-08 09:30:00-04:00,MLTRADER,5be31fae99d4463fba1e09d29270d250,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-04-08 09:30:00-04:00,MLTRADER,5be31fae99d4463fba1e09d29270d250,TSLA,buy,market,fill,1,gtc,0.0,1,stock,17.366666793823242,12.0,0.0
2016-05-18 09:30:00-04:00,MLTRADER,5dd8de30b7f147eda38c8d3dab83ad6e,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-05-18 09:30:00-04:00,MLTRADER,5dd8de30b7f147eda38c8d3dab83ad6e,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.2413330078125,10.0,0.0
2016-05-19 09:30:00-04:00,MLTRADER,1a0f27314d1a4b578c5a01db2e107851,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-05-19 09:30:00-04:00,MLTRADER,1a0f27314d1a4b578c5a01db2e107851,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.465999603271484,7.0,0.0
2016-05-23 09:30:00-04:00,MLTRADER,0793ce990eef48fd98cdbd0dcde3e48a,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-05-23 09:30:00-04:00,MLTRADER,0793ce990eef48fd98cdbd0dcde3e48a,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.4399995803833,5.0,0.0
2016-05-25 09:30:00-04:00,MLTRADER,e9a96e703d264492b35614b222040085,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-05-25 09:30:00-04:00,MLTRADER,e9a96e703d264492b35614b222040085,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.699999809265137,3.0,0.0
2016-05-27 09:30:00-04:00,MLTRADER,47118565ff00428d9b4926267503f03d,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
