time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2016-02-18 09:30:00-05:00,MLTRADER,bb92f5ecb5934137934736c59c2ce74c,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-02-18 09:30:00-05:00,MLTRADER,bb92f5ecb5934137934736c59c2ce74c,TSLA,buy,market,fill,1,gtc,0.0,1,stock,11.494667053222656,2610.0,0.0
2016-02-22 09:30:00-05:00,MLTRADER,29587421f2da4042aa7c481a36291a8e,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-02-22 09:30:00-05:00,MLTRADER,29587421f2da4042aa7c481a36291a8e,TSLA,buy,market,fill,1,gtc,0.0,1,stock,11.341333389282227,1852.0,0.0
2016-02-26 09:30:00-05:00,MLTRADER,d6bd05b8a32a4710a9909b0e27451924,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-02-26 09:30:00-05:00,MLTRADER,d6bd05b8a32a4710a9909b0e27451924,TSLA,buy,market,fill,1,gtc,0.0,1,stock,12.579999923706055,1168.0,0.0
2016-02-29 09:30:00-05:00,MLTRADER,949c1c561810466fa9e41801b0698358,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-02-29 09:30:00-05:00,MLTRADER,949c1c561810466fa9e41801b0698358,TSLA,buy,market,fill,1,gtc,0.0,1,stock,12.826666831970215,802.0,0.0
2016-03-01 09:30:00-05:00,MLTRADER,da65942dc0204152b79ce185c91b9a2a,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-03-01 09:30:00-05:00,MLTRADER,da65942dc0204152b79ce185c91b9a2a,TSLA,buy,market,fill,1,gtc,0.0,1,stock,12.949999809265137,556.0,0.0
2016-03-04 09:30:00-05:00,MLTRADER,dfa5f9724a124ebe99cb91d07e9b11c7,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-03-04 09:30:00-05:00,MLTRADER,dfa5f9724a124ebe99cb91d07e9b11c7,TSLA,buy,market,fill,1,gtc,0.0,1,stock,13.199999809265137,382.0,0.0
2016-03-09 09:30:00-05:00,MLTRADER,d4889cc8f75842a2ad95a2a06c3edba0,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-03-09 09:30:00-05:00,MLTRADER,d4889cc8f75842a2ad95a2a06c3edba0,TSLA,buy,market,fill,1,gtc,0.0,1,stock,13.63466739654541,259.0,0.0
2016-03-10 09:30:00-05:00,MLTRADER,fc697e31894b4d0ea1442cf3a2b9ae7c,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-03-10 09:30:00-05:00,MLTRADER,fc697e31894b4d0ea1442cf3a2b9ae7c,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.0,177.0,0.0
2016-03-11 09:30:00-05:00,MLTRADER,957769d4ace748e8bd02812bcf0aadb7,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-03-11 09:30:00-05:00,MLTRADER,957769d4ace748e8bd02812bcf0aadb7,TSLA,buy,market,fill,1,gtc,0.0,1,stock,13.862000465393066,125.0,0.0
2016-03-17 09:30:00-04:00,MLTRADER,5b2dce85549a42719ea747a93ebba059,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-03-17 09:30:00-04:00,MLTRADER,5b2dce85549a42719ea747a93ebba059,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.273332595825195,79.0,0.0
2016-04-06 09:30:00-04:00,MLTRADER,b8942d0074434c84b3c09380da1d1af3,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-04-06 09:30:00-04:00,MLTRADER,b8942d0074434c84b3c09380da1d1af3,TSLA,buy,market,fill,1,gtc,0.0,1,stock,17.76333236694336,48.0,0.0
2016-04-07 09:30:00-04:00,MLTRADER,cc198296333743b9b72f37637b78acb8,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-04-07 09:30:00-04:00,MLTRADER,cc198296333743b9b72f37637b78acb8,TSLA,buy,market,fill,1,gtc,0.0,1,stock,17.366666793823242,34.0,0.0
2016-04-08 09:30:00-04:00,MLTRADER,bc864002c1314650acd82d3fa5cfb101,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-04-08 09:30:00-04:00,MLTRADER,bc864002c1314650acd82d3fa5cfb101,TSLA,buy,market,fill,1,gtc,0.0,1,stock,17.366666793823242,24.0,0.0
2016-05-19 09:30:00-04:00,MLTRADER,2665291d66364ee2a21c34e77d43e0b6,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-05-19 09:30:00-04:00,MLTRADER,2665291d66364ee2a21c34e77d43e0b6,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.465999603271484,20.0,0.0
2016-05-23 09:30:00-04:00,MLTRADER,974a2ba7e6c84dffb0e26e75a298d6a4,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2016-05-23 09:30:00-04:00,MLTRADER,974a2ba7e6c84dffb0e26e75a298d6a4,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.4399995803833,14.0,0.0
