Metric,SPY,Strategy
Risk-Free Rate,0.25%,0.25%
Time in Market,69.0%,3.0%
,,
Total Return,239%,3%
CAGR% (Annual Return),14.9%,0.31%
,,
Sharpe,0.85,0.04
RoMaD,0.44,0.03
Corr to Benchmark,1.0,0.02
Prob. Sharpe Ratio,99.13%,59.39%
Smart Sharpe,0.84,0.04
Sortino,1.19,0.05
Smart Sortino,1.18,0.05
Sortino/√2,0.84,0.04
Smart Sortino/√2,0.83,0.04
Omega,1.03,1.03
,,
Max Drawdown,-33.68%,-10.99%
Longest DD Days,708,3113
Volatility (ann.),17.93%,2.75%
R^2,0.0,0.0
Information Ratio,-0.04,-0.04
Calmar,0.44,0.03
Skew,-0.64,-0.34
Kurtosis,20.58,117.43
,,
Expected Daily%,0.04%,0.0%
Expected Monthly%,1.16%,0.03%
Expected Yearly%,14.51%,0.3%
Daily Value-at-Risk,-1.5%,-0.24%
Expected Shortfall (cVaR),-1.5%,-0.24%
,,
MTD,1.84%,0.0%
3M,4.38%,0.0%
6M,16.57%,0.0%
YTD,24.8%,0.0%
1Y,37.26%,0.0%
3Y (ann.),9.62%,0.0%
5Y (ann.),15.65%,0.0%
10Y (ann.),14.9%,0.31%
All-time (ann.),14.9%,0.31%
,,
Best Day,9.06%,2.02%
Worst Day,-10.94%,-2.15%
Best Month,12.7%,7.17%
Worst Month,-16.07%,-5.45%
Best Year,31.23%,2.77%
Worst Year,-18.51%,0.0%
,,
Avg. Drawdown,-1.55%,-4.2%
Avg. Drawdown Days,16,799
Recovery Factor,4.04,0.28
Ulcer Index,0.07,0.02
Serenity Index,1.19,0.07
,,
Avg. Up Month,3.96%,4.05%
Avg. Down Month,-3.67%,-5.45%
Win Days,1776.91,1715.89
Loss Days,1429.09,1490.11
Win Days%,55.42%,53.52%
Win Month%,72.64%,75.0%
Win Quarter%,80.56%,100.0%
Win Year%,77.78%,100.0%
,,
Beta,-,0.0
Alpha,-,0.0
Correlation,-,2.07%
Treynor Ratio,-,796.24%
