Metric,SPY,Strategy
Risk-Free Rate,1.79%,1.79%
Time in Market,69.0%,16.0%
,,
Total Return,239%,2%
CAGR% (Annual Return),14.9%,0.26%
,,
Sharpe,0.77,-0.15
RoMaD,0.44,0.01
Corr to Benchmark,1.0,0.03
Prob. Sharpe Ratio,93.54%,21.21%
Smart Sharpe,0.76,-0.15
Sortino,1.07,-0.21
Smart Sortino,1.06,-0.21
Sortino/√2,0.75,-0.15
Smart Sortino/√2,0.75,-0.15
Omega,0.95,0.95
,,
Max Drawdown,-33.68%,-19.3%
Longest DD Days,708,2669
Volatility (ann.),17.93%,7.93%
R^2,0.0,0.0
Information Ratio,-0.04,-0.04
Calmar,0.44,0.01
Skew,-0.64,-0.65
Kurtosis,20.58,69.67
,,
Expected Daily%,0.04%,0.0%
Expected Monthly%,1.16%,0.02%
Expected Yearly%,14.51%,0.25%
Daily Value-at-Risk,-1.5%,-0.68%
Expected Shortfall (cVaR),-1.5%,-0.68%
,,
MTD,1.84%,0.0%
3M,4.38%,0.0%
6M,16.57%,0.0%
YTD,24.8%,0.0%
1Y,37.26%,0.0%
3Y (ann.),9.62%,0.0%
5Y (ann.),15.65%,0.0%
10Y (ann.),14.9%,0.26%
All-time (ann.),14.9%,0.26%
,,
Best Day,9.06%,7.13%
Worst Day,-10.94%,-6.99%
Best Month,12.7%,7.17%
Worst Month,-16.07%,-13.5%
Best Year,31.23%,12.68%
Worst Year,-18.51%,-7.47%
,,
Avg. Drawdown,-1.55%,-4.29%
Avg. Drawdown Days,16,226
Recovery Factor,4.04,0.26
Ulcer Index,0.07,0.13
Serenity Index,1.17,0.01
,,
Avg. Up Month,2.12%,3.48%
Avg. Down Month,-3.41%,-6.51%
Win Days,1776.91,1628.15
Loss Days,1429.09,1577.85
Win Days%,55.42%,50.78%
Win Month%,72.64%,51.72%
Win Quarter%,80.56%,50.0%
Win Year%,77.78%,33.33%
,,
Beta,-,0.01
Alpha,-,0.0
Correlation,-,2.94%
Treynor Ratio,-,39.38%
