Metric,SPY,Strategy
Risk-Free Rate,2.11%,2.11%
Time in Market,69.0%,19.0%
,,
Total Return,239%,2%
CAGR% (Annual Return),14.9%,0.19%
,,
Sharpe,0.75,-0.14
RoMaD,0.44,0.01
Corr to Benchmark,1.0,0.03
Prob. Sharpe Ratio,91.03%,16.06%
Smart Sharpe,0.73,-0.14
Sortino,1.04,-0.2
Smart Sortino,1.02,-0.2
Sortino/√2,0.74,-0.14
Smart Sortino/√2,0.72,-0.14
Omega,0.95,0.95
,,
Max Drawdown,-33.68%,-19.3%
Longest DD Days,708,2669
Volatility (ann.),17.93%,9.81%
R^2,0.0,0.0
Information Ratio,-0.04,-0.04
Calmar,0.44,0.01
Skew,-0.64,0.03
Kurtosis,20.58,44.71
,,
Expected Daily%,0.04%,0.0%
Expected Monthly%,1.16%,0.02%
Expected Yearly%,14.51%,0.18%
Daily Value-at-Risk,-1.5%,-0.84%
Expected Shortfall (cVaR),-1.5%,-0.84%
,,
MTD,1.84%,0.0%
3M,4.38%,0.0%
6M,16.57%,0.0%
YTD,24.8%,0.0%
1Y,37.26%,0.0%
3Y (ann.),9.62%,0.0%
5Y (ann.),15.65%,0.0%
10Y (ann.),14.9%,0.19%
All-time (ann.),14.9%,0.19%
,,
Best Day,9.06%,7.13%
Worst Day,-10.94%,-6.99%
Best Month,12.7%,12.36%
Worst Month,-16.07%,-13.5%
Best Year,31.23%,12.68%
Worst Year,-18.51%,-8.07%
,,
Avg. Drawdown,-1.55%,-4.29%
Avg. Drawdown Days,16,226
Recovery Factor,4.04,0.3
Ulcer Index,0.07,0.13
Serenity Index,1.17,0.01
,,
Avg. Up Month,2.09%,3.89%
Avg. Down Month,-3.41%,-6.51%
Win Days,1776.91,1625.11
Loss Days,1429.09,1580.89
Win Days%,55.42%,50.69%
Win Month%,72.64%,51.52%
Win Quarter%,80.56%,45.45%
Win Year%,77.78%,33.33%
,,
Beta,-,0.02
Alpha,-,0.0
Correlation,-,3.26%
Treynor Ratio,-,-26.26%
