Metric,SPY,Strategy
Risk-Free Rate,4.5%,4.5%
Time in Market,69.0%,60.0%
,,
Total Return,92%,269%
CAGR% (Annual Return),14.86%,31.92%
,,
Sharpe,0.55,0.69
RoMaD,0.44,0.43
Corr to Benchmark,1.0,0.21
Prob. Sharpe Ratio,41.06%,41.33%
Smart Sharpe,0.52,0.65
Sortino,0.76,1.03
Smart Sortino,0.72,0.97
Sortino/√2,0.54,0.73
Smart Sortino/√2,0.51,0.69
Omega,1.13,1.13
,,
Max Drawdown,-33.68%,-74.33%
Longest DD Days,708,1077
Volatility (ann.),21.39%,60.32%
R^2,0.04,0.04
Information Ratio,0.03,0.03
Calmar,0.44,0.43
Skew,-0.59,0.23
Kurtosis,17.5,4.21
,,
Expected Daily%,0.04%,0.08%
Expected Monthly%,1.13%,2.28%
Expected Yearly%,13.94%,29.82%
Daily Value-at-Risk,-1.8%,-5.07%
Expected Shortfall (cVaR),-1.8%,-5.07%
,,
MTD,1.84%,-15.57%
3M,4.38%,-13.16%
6M,16.57%,40.62%
YTD,24.8%,-11.36%
1Y,37.26%,-14.35%
3Y (ann.),9.62%,-13.39%
5Y (ann.),14.86%,31.92%
10Y (ann.),14.86%,31.92%
All-time (ann.),14.86%,31.92%
,,
Best Day,9.06%,15.31%
Worst Day,-10.94%,-15.46%
Best Month,12.7%,56.98%
Worst Month,-12.44%,-33.6%
Best Year,28.77%,289.43%
Worst Year,-18.16%,-65.82%
,,
Avg. Drawdown,-1.93%,-11.03%
Avg. Drawdown Days,19,74
Recovery Factor,2.26,2.91
Ulcer Index,0.1,0.37
Serenity Index,0.46,0.29
,,
Avg. Up Month,4.97%,22.07%
Avg. Down Month,-5.34%,-9.65%
Win Days,940.03,882.79
Loss Days,779.97,837.21
Win Days%,54.65%,51.32%
Win Month%,67.24%,46.55%
Win Quarter%,75.0%,60.0%
Win Year%,80.0%,60.0%
,,
Beta,-,0.59
Alpha,-,0.36
Correlation,-,21.06%
Treynor Ratio,-,445.04%
