time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 09:30:00-05:00,LightGBMTrader,34ef6572484949c682ad05319383f2ba,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,LightGBMTrader,34ef6572484949c682ad05319383f2ba,SPY,sell,market,fill,1,gtc,0.0,1,stock,384.3699951171875,78.0,0.0
2023-01-04 09:30:00-05:00,LightGBMTrader,ef75141ebfd54ce887c7635f71d9fdf2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 09:30:00-05:00,LightGBMTrader,ef75141ebfd54ce887c7635f71d9fdf2,SPY,sell,market,fill,1,gtc,0.0,1,stock,383.17999267578125,102.0,0.0
2023-01-05 09:30:00-05:00,LightGBMTrader,1530b1f083984d73b9595ae27abcb76a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-05 09:30:00-05:00,LightGBMTrader,1530b1f083984d73b9595ae27abcb76a,SPY,sell,market,fill,1,gtc,0.0,1,stock,381.7200012207031,133.0,0.0
2023-01-06 09:30:00-05:00,LightGBMTrader,0c9525d8875e4e06b074c16c39b1b80c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-06 09:30:00-05:00,LightGBMTrader,0c9525d8875e4e06b074c16c39b1b80c,SPY,sell,market,fill,1,gtc,0.0,1,stock,382.6099853515625,172.0,0.0
2023-01-09 09:30:00-05:00,LightGBMTrader,8dda320f85bb439e9772751e1ade3abb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-09 09:30:00-05:00,LightGBMTrader,8dda320f85bb439e9772751e1ade3abb,SPY,sell,market,fill,1,gtc,0.0,1,stock,390.3699951171875,220.0,0.0
2023-01-10 09:30:00-05:00,LightGBMTrader,6ae7387cbc364dff92df34ddece06104,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,LightGBMTrader,6ae7387cbc364dff92df34ddece06104,SPY,sell,market,fill,1,gtc,0.0,1,stock,387.25,288.0,0.0
2023-01-11 09:30:00-05:00,LightGBMTrader,f2329f4252d946748dce0948a0c5d100,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-11 09:30:00-05:00,LightGBMTrader,f2329f4252d946748dce0948a0c5d100,SPY,sell,market,fill,1,gtc,0.0,1,stock,392.2300109863281,369.0,0.0
2023-01-12 09:30:00-05:00,LightGBMTrader,7b25faa45e3d4299b54c167bfd9ad906,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-12 09:30:00-05:00,LightGBMTrader,7b25faa45e3d4299b54c167bfd9ad906,SPY,sell,market,fill,1,gtc,0.0,1,stock,396.6700134277344,475.0,0.0
2023-01-13 09:30:00-05:00,LightGBMTrader,0b89d32abf80431fae1324d4ba4e5cdb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-13 09:30:00-05:00,LightGBMTrader,0b89d32abf80431fae1324d4ba4e5cdb,SPY,sell,market,fill,1,gtc,0.0,1,stock,393.6199951171875,622.0,0.0
2023-01-17 09:30:00-05:00,LightGBMTrader,117c1c183e8c465b9d99c76cc649be6a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-17 09:30:00-05:00,LightGBMTrader,117c1c183e8c465b9d99c76cc649be6a,SPY,sell,market,fill,1,gtc,0.0,1,stock,398.4800109863281,799.0,0.0
2023-01-18 09:30:00-05:00,LightGBMTrader,69e26890442048538fdfd8ef742654ad,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-18 09:30:00-05:00,LightGBMTrader,69e26890442048538fdfd8ef742654ad,SPY,sell,market,fill,1,gtc,0.0,1,stock,399.010009765625,1037.0,0.0
2023-01-19 09:30:00-05:00,LightGBMTrader,d10d3307228f4e96924d0aa298d669d7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,LightGBMTrader,d10d3307228f4e96924d0aa298d669d7,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,1382.0,0.0
2023-01-20 09:30:00-05:00,LightGBMTrader,2962a714b8fa4af59b27ac5872a15f13,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-20 09:30:00-05:00,LightGBMTrader,2962a714b8fa4af59b27ac5872a15f13,SPY,sell,market,fill,1,gtc,0.0,1,stock,390.1000061035156,1793.0,0.0
2023-01-23 09:30:00-05:00,LightGBMTrader,5e082a531fba42118565d9a84a805f57,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-23 09:30:00-05:00,LightGBMTrader,5e082a531fba42118565d9a84a805f57,SPY,sell,market,fill,1,gtc,0.0,1,stock,396.7200012207031,2292.0,0.0
2023-01-24 09:30:00-05:00,LightGBMTrader,099fc1e49d0c43bda733d27f1b3fb414,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-24 09:30:00-05:00,LightGBMTrader,099fc1e49d0c43bda733d27f1b3fb414,SPY,sell,market,fill,1,gtc,0.0,1,stock,398.8800048828125,2963.0,0.0
2023-01-25 09:30:00-05:00,LightGBMTrader,0f250af6a2eb425a9120fa7306040b43,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-25 09:30:00-05:00,LightGBMTrader,0f250af6a2eb425a9120fa7306040b43,SPY,sell,market,fill,1,gtc,0.0,1,stock,395.95001220703125,3881.0,0.0
2023-01-26 09:30:00-05:00,LightGBMTrader,d2b970809e3c4bcaa7d268fc00d92d42,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-26 09:30:00-05:00,LightGBMTrader,d2b970809e3c4bcaa7d268fc00d92d42,SPY,sell,market,fill,1,gtc,0.0,1,stock,403.1300048828125,4955.0,0.0
2023-01-27 09:30:00-05:00,LightGBMTrader,10731ae374e147eb8cada3f653110e0c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,LightGBMTrader,10731ae374e147eb8cada3f653110e0c,SPY,sell,market,fill,1,gtc,0.0,1,stock,403.6600036621094,6433.0,0.0
2023-01-30 09:30:00-05:00,LightGBMTrader,94f7bcc5845b42ddbe964f2ba5d65870,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-30 09:30:00-05:00,LightGBMTrader,94f7bcc5845b42ddbe964f2ba5d65870,SPY,sell,market,fill,1,gtc,0.0,1,stock,402.79998779296875,8381.0,0.0
2023-01-31 09:30:00-05:00,LightGBMTrader,05f088ab445d42b5b569f78ae045b48d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-31 09:30:00-05:00,LightGBMTrader,05f088ab445d42b5b569f78ae045b48d,SPY,sell,market,fill,1,gtc,0.0,1,stock,401.1300048828125,10941.0,0.0
2023-02-01 09:30:00-05:00,LightGBMTrader,0fd7bfaf0d4042df8021e15b36da0b93,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,LightGBMTrader,0fd7bfaf0d4042df8021e15b36da0b93,SPY,sell,market,fill,1,gtc,0.0,1,stock,405.2099914550781,14080.0,0.0
2023-02-02 09:30:00-05:00,LightGBMTrader,111db0e1972346d792fe45a6c5a992a0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-02 09:30:00-05:00,LightGBMTrader,111db0e1972346d792fe45a6c5a992a0,SPY,sell,market,fill,1,gtc,0.0,1,stock,414.8599853515625,17878.0,0.0
2023-02-03 09:30:00-05:00,LightGBMTrader,a9ef5a43d0db4e0caaa3d8632778026e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-03 09:30:00-05:00,LightGBMTrader,a9ef5a43d0db4e0caaa3d8632778026e,SPY,sell,market,fill,1,gtc,0.0,1,stock,411.5899963378906,23426.0,0.0
2023-02-06 09:30:00-05:00,LightGBMTrader,2644208176c343e691836ec848377742,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-06 09:30:00-05:00,LightGBMTrader,2644208176c343e691836ec848377742,SPY,sell,market,fill,1,gtc,0.0,1,stock,409.7900085449219,30588.0,0.0
2023-02-07 09:30:00-05:00,LightGBMTrader,362d3c551d0e4a568031d0e171b59530,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-07 09:30:00-05:00,LightGBMTrader,362d3c551d0e4a568031d0e171b59530,SPY,sell,market,fill,1,gtc,0.0,1,stock,408.8699951171875,39853.0,0.0
2023-02-08 09:30:00-05:00,LightGBMTrader,874a3d8debf04c07b19699269d4adbae,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-08 09:30:00-05:00,LightGBMTrader,874a3d8debf04c07b19699269d4adbae,SPY,sell,market,fill,1,gtc,0.0,1,stock,413.1300048828125,51275.0,0.0
2023-02-09 09:30:00-05:00,LightGBMTrader,b74d4b8f2eb54e82a7b64d8fa2fdb72f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-09 09:30:00-05:00,LightGBMTrader,b74d4b8f2eb54e82a7b64d8fa2fdb72f,SPY,sell,market,fill,1,gtc,0.0,1,stock,414.4100036621094,66452.0,0.0
2023-02-10 09:30:00-05:00,LightGBMTrader,78f86da2d9e947d5a566b2a914515d6a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-10 09:30:00-05:00,LightGBMTrader,78f86da2d9e947d5a566b2a914515d6a,SPY,sell,market,fill,1,gtc,0.0,1,stock,405.8599853515625,88207.0,0.0
2023-02-13 09:30:00-05:00,LightGBMTrader,2569fb2d325842d5a353f8298a4342d9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-13 09:30:00-05:00,LightGBMTrader,2569fb2d325842d5a353f8298a4342d9,SPY,sell,market,fill,1,gtc,0.0,1,stock,408.7200012207031,113867.0,0.0
2023-02-14 09:30:00-05:00,LightGBMTrader,76a6ebdc5f7b46ddb011616dc4de1360,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-14 09:30:00-05:00,LightGBMTrader,76a6ebdc5f7b46ddb011616dc4de1360,SPY,sell,market,fill,1,gtc,0.0,1,stock,411.239990234375,147120.0,0.0
2023-02-15 09:30:00-05:00,LightGBMTrader,de4e06c3a9864060b2c174ea881a014b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-15 09:30:00-05:00,LightGBMTrader,de4e06c3a9864060b2c174ea881a014b,SPY,sell,market,fill,1,gtc,0.0,1,stock,410.3500061035156,191671.0,0.0
2023-02-16 09:30:00-05:00,LightGBMTrader,a84fa3d6960d46cc84d6ea058abd1ea2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-16 09:30:00-05:00,LightGBMTrader,a84fa3d6960d46cc84d6ea058abd1ea2,SPY,sell,market,fill,1,gtc,0.0,1,stock,408.7900085449219,250123.0,0.0
2023-02-17 09:30:00-05:00,LightGBMTrader,738adfb93b2b48deb8c5e2ff430193f6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-17 09:30:00-05:00,LightGBMTrader,738adfb93b2b48deb8c5e2ff430193f6,SPY,sell,market,fill,1,gtc,0.0,1,stock,406.05999755859375,327346.0,0.0
2023-02-21 09:30:00-05:00,LightGBMTrader,36d701e4e7f24d53aa7f1d2f0a6a9cee,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
