time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 09:30:00-05:00,LightGBMTrader,600bc69d151943e58691746191593563,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,LightGBMTrader,600bc69d151943e58691746191593563,SPY,sell,market,fill,1,gtc,0.0,1,stock,384.3699951171875,78.0,0.0
2023-01-04 09:30:00-05:00,LightGBMTrader,9fb82d05a0a642e4a6aac64c1958fa28,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 09:30:00-05:00,LightGBMTrader,9fb82d05a0a642e4a6aac64c1958fa28,SPY,sell,market,fill,1,gtc,0.0,1,stock,383.17999267578125,102.0,0.0
2023-01-05 09:30:00-05:00,LightGBMTrader,ae46edefe960404589ca08cafdf7c1e3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-05 09:30:00-05:00,LightGBMTrader,ae46edefe960404589ca08cafdf7c1e3,SPY,sell,market,fill,1,gtc,0.0,1,stock,381.7200012207031,133.0,0.0
2023-01-06 09:30:00-05:00,LightGBMTrader,1485e472758c475e87e06d296bcd72d8,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-06 09:30:00-05:00,LightGBMTrader,1485e472758c475e87e06d296bcd72d8,SPY,sell,market,fill,1,gtc,0.0,1,stock,382.6099853515625,172.0,0.0
2023-01-09 09:30:00-05:00,LightGBMTrader,e77b98fa09b647c8ad3d9e19814b821d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-09 09:30:00-05:00,LightGBMTrader,e77b98fa09b647c8ad3d9e19814b821d,SPY,sell,market,fill,1,gtc,0.0,1,stock,390.3699951171875,220.0,0.0
2023-01-10 09:30:00-05:00,LightGBMTrader,eb74d7219bea4ec59c105545fae61900,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,LightGBMTrader,eb74d7219bea4ec59c105545fae61900,SPY,sell,market,fill,1,gtc,0.0,1,stock,387.25,288.0,0.0
2023-01-11 09:30:00-05:00,LightGBMTrader,82d84f15afdc40cdad05ffc7fc4798a3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-11 09:30:00-05:00,LightGBMTrader,82d84f15afdc40cdad05ffc7fc4798a3,SPY,sell,market,fill,1,gtc,0.0,1,stock,392.2300109863281,369.0,0.0
2023-01-12 09:30:00-05:00,LightGBMTrader,4fed38e259b24c7080477f255e610224,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-12 09:30:00-05:00,LightGBMTrader,4fed38e259b24c7080477f255e610224,SPY,sell,market,fill,1,gtc,0.0,1,stock,396.6700134277344,475.0,0.0
2023-01-13 09:30:00-05:00,LightGBMTrader,7d0449ac68f04a8584520ee82afcc1db,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
